INDEX,YEAR,MN,DT,MAX,MIN,RF
42933,2015,10,5,35.9,22.5,0.0
42933,2015,10,6,36.6,20.5,0.0
42933,2015,10,7,37.1,19.9,0.0
42933,2015,10,8,36.7,21.5,0.0
42933,2015,10,9,36.8,21.4,0.0
42933,2015,10,10,37.8,19.4,0.0
42933,2015,10,11,37.1,20.0,0.0
42933,2015,10,12,37.0,22.0,0.0
42933,2015,10,13,37.5,21.1,0.0
42933,2015,10,14,38.0,20.1,0.0
42933,2015,10,15,38.7,19.9,0.0
42933,2015,10,16,37.9,21.8,0.0
42933,2015,10,17,36.0,22.4,0.2
42933,2015,10,18,36.6,20.0,0.0
42933,2015,10,19,36.8,20.5,0.0
42933,2015,10,20,36.9,21.3,0.0
42933,2015,10,21,37.6,20.8,0.0
42933,2015,10,22,37.7,21.1,0.0
42933,2015,10,23,36.5,21.5,0.0
42933,2015,10,24,36.6,21.1,0.0
42933,2015,10,25,37.0,22.9,0.0
42933,2015,10,26,35.8,22.1,0.0
42933,2015,10,27,35.1,21.4,0.0
42933,2015,10,28,34.2,22.7,0.0
42933,2015,10,29,35.3,22.7,0.0
42933,2015,10,30,34.1,20.0,0.0
42933,2015,10,31,32.9,20.6,0.0
42933,2015,11,1,33.0,20.0,0.0
42933,2015,11,2,33.1,20.1,0.0
42933,2015,11,3,34.7,21.0,0.0
42933,2015,11,4,34.1,19.6,0.0
42933,2015,11,5,35.1,19.5,0.0
42933,2015,11,6,35.6,20.0,0.0
42933,2015,11,7,35.8,21.1,0.0
42933,2015,11,8,36.0,21.6,0.0
42933,2015,11,9,34.6,20.0,0.0
42933,2015,11,10,34.7,18.3,0.0
42933,2015,11,11,33.0,18.3,0.0
42933,2015,11,12,34.8,20.0,0.0
42933,2015,11,13,34.6,17.5,0.0
42933,2015,11,14,34.9,17.4,0.0
42933,2015,11,15,34.6,17.2,0.0
42933,2015,11,16,34.6,16.4,0.0
42933,2015,11,17,35.1,16.9,0.0
42933,2015,11,18,34.5,16.4,0.0
42933,2015,11,19,33.1,18.5,0.0
42933,2015,11,20,32.2,15.6,0.0
42933,2015,11,21,33.0,17.0,0.0
42933,2015,11,22,34.1,20.9,0.0
42933,2015,11,23,34.7,22.1,0.0
42933,2015,11,24,34.0,23.1,0.0
42933,2015,11,25,34.1,20.1,0.0
42933,2015,11,26,34.4,18.0,0.0
42933,2015,11,27,34.7,18.0,0.0
42933,2015,11,28,34.6,19.5,0.0
42933,2015,11,29,35.1,21.1,0.0
42933,2015,11,30,34.0,19.6,0.0
42933,2015,12,1,34.5,18.7,0.0
42933,2015,12,2,34.0,17.5,0.0
42933,2015,12,3,34.8,19.5,0.0
42933,2015,12,4,33.9,16.8,0.0
42933,2015,12,5,32.7,15.0,0.0
42933,2015,12,6,32.9,14.0,0.0
42933,2015,12,7,33.1,11.9,0.0
42933,2015,12,8,33.7,12.5,0.0
42933,2015,12,9,33.4,13.1,0.0
42933,2015,12,10,34.5,16.9,0.0
42933,2015,12,11,34.6,18.5,0.0
42933,2015,12,12,32.4,18.5,0.0
42933,2015,12,13,32.7,16.5,0.0
42933,2015,12,14,33.5,20.0,0.0
42933,2015,12,15,33.1,16.4,0.0
42933,2015,12,16,31.4,18.3,0.0
42933,2015,12,17,33.2,19.2,0.0
42933,2015,12,18,32.0,15.2,0.0
42933,2015,12,19,30.4,14.2,0.0
42933,2015,12,20,30.6,17.8,0.0
42933,2015,12,21,31.9,16.5,0.0
42933,2015,12,22,32.0,14.0,0.0
42933,2015,12,23,31.3,11.7,0.0
42933,2015,12,24,29.6,10.9,0.0
42933,2015,12,25,28.1,8.0,0.0
42933,2015,12,26,27.0,7.5,0.0
42933,2015,12,27,27.8,8.6,0.0
42933,2015,12,28,31.8,10.3,0.0
42933,2015,12,29,34.2,11.4,0.0
42933,2015,12,30,35.0,12.4,0.0
42933,2015,12,31,34.6,13.0,0.0
42933,2016,1,1,35.8,12.9,0.0
42933,2016,1,2,34.6,13.0,0.0
42933,2016,1,3,33.0,13.0,0.0
42933,2016,1,4,32.7,12.6,0.0
42933,2016,1,5,33.0,12.0,0.0
42933,2016,1,6,32.2,12.7,0.0
42933,2016,1,7,33.2,15.0,0.0
42933,2016,1,8,30.9,14.1,0.0
42933,2016,1,9,32.5,14.0,0.0
42933,2016,1,10,31.9,13.2,0.0
42933,2016,1,11,32.4,13.3,0.0
42933,2016,1,12,32.1,24.5,0.0
42933,2016,1,13,32.4,16.0,0.0
42933,2016,1,14,32.5,16.4,0.0
42933,2016,1,15,33.0,18.0,0.0
42933,2016,1,16,31.6,19.0,0.0
42933,2016,1,17,32.6,19.5,0.0
42933,2016,1,18,31.0,18.0,0.0
42933,2016,1,19,31.7,17.5,0.0
42933,2016,1,20,28.1,11.5,0.0
42933,2016,1,21,28.0,15.1,0.0
42933,2016,1,22,27.4,7.9,0.0
42933,2016,1,23,28.5,9.5,0.0
42933,2016,1,24,24.9,9.5,0.0
42933,2016,1,25,31.1,11.0,0.0
42933,2016,1,26,32.3,12.4,0.0
42933,2016,1,27,32.5,12.0,0.0
42933,2016,1,28,32.0,12.5,0.0
42933,2016,1,29,31.9,13.2,0.0
42933,2016,1,30,34.5,14.2,0.0
42933,2016,1,31,35.6,15.0,0.0
42933,2016,2,1,35.5,15.6,0.0
42933,2016,2,2,30.2,15.0,0.0
42933,2016,2,3,34.0,13.8,0.0
42933,2016,2,4,33.8,12.9,0.0
42933,2016,2,5,33.0,14.1,0.0
42933,2016,2,6,34.7,18.0,0.0
42933,2016,2,7,36.8,19.2,0.0
42933,2016,2,8,31.7,15.0,0.0
42933,2016,2,9,33.5,15.4,0.0
42933,2016,2,10,33.8,17.6,0.0
42933,2016,2,11,34.5,18.0,0.0
42933,2016,2,12,33.3,16.3,0.0
42933,2016,2,13,33.7,18.1,0.0
42933,2016,2,14,32.0,16.4,0.0
42933,2016,2,15,34.3,20.8,0.0
42933,2016,2,16,36.1,21.0,0.0
